Epoch: 81, Runtime: 0.2847, Loss: 1.540, forward nfe 2093, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 82, Runtime: 0.3057, Loss: 1.534, forward nfe 2119, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 83, Runtime: 0.3988, Loss: 1.524, forward nfe 2145, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 84, Runtime: 0.3288, Loss: 1.570, forward nfe 2171, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 85, Runtime: 0.2699, Loss: 1.521, forward nfe 2197, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 86, Runtime: 0.2704, Loss: 1.541, forward nfe 2223, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 87, Runtime: 0.2726, Loss: 1.550, forward nfe 2249, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 88, Runtime: 0.2866, Loss: 1.564, forward nfe 2275, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 89, Runtime: 0.3875, Loss: 1.561, forward nfe 2301, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 90, Runtime: 0.3085, Loss: 1.482, forward nfe 2327, backward nfe 0, tmp_train: 0.3400, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
Epoch: 91, Runtime: 0.3335, Loss: 1.561, forward nfe 2353, backward nfe 0, tmp_train: 0.4000, tmp_val: 0.7400, tmp_test: 0.5663, Train: 0.4000, Val: 0.7600, Test: 0.5663, Best time: 2.4700
