Epoch: 75, Runtime: 0.1298, Loss: 0.123, forward nfe 1192, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7860, tmp_test: 0.7888, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 76, Runtime: 0.0863, Loss: 0.106, forward nfe 1208, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.7963, tmp_test: 0.7878, Train: 1.0000, Val: 0.7971, Test: 0.7959, Best time: 2.2400
Epoch: 77, Runtime: 0.0896, Loss: 0.134, forward nfe 1224, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8044, tmp_test: 0.8000, Train: 0.9929, Val: 0.8044, Test: 0.8000, Best time: 2.2400
Epoch: 78, Runtime: 0.0616, Loss: 0.080, forward nfe 1240, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.8051, tmp_test: 0.8071, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 79, Runtime: 0.0956, Loss: 0.145, forward nfe 1256, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7978, tmp_test: 0.8010, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 80, Runtime: 0.0492, Loss: 0.085, forward nfe 1272, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7868, tmp_test: 0.7970, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 81, Runtime: 0.0927, Loss: 0.132, forward nfe 1288, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7735, tmp_test: 0.7817, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 82, Runtime: 0.0624, Loss: 0.214, forward nfe 1304, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7662, tmp_test: 0.7736, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 83, Runtime: 0.0872, Loss: 0.111, forward nfe 1320, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7669, tmp_test: 0.7777, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 84, Runtime: 0.0631, Loss: 0.109, forward nfe 1336, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7787, tmp_test: 0.7848, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 85, Runtime: 0.1018, Loss: 0.151, forward nfe 1352, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7919, tmp_test: 0.7909, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 86, Runtime: 0.1155, Loss: 0.162, forward nfe 1368, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.8015, tmp_test: 0.7939, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 87, Runtime: 0.0862, Loss: 0.169, forward nfe 1384, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7956, tmp_test: 0.7970, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 88, Runtime: 0.0633, Loss: 0.127, forward nfe 1400, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7816, tmp_test: 0.7949, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 89, Runtime: 0.0895, Loss: 0.135, forward nfe 1416, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7809, tmp_test: 0.7909, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 90, Runtime: 0.0547, Loss: 0.127, forward nfe 1432, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7765, tmp_test: 0.7848, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 91, Runtime: 0.0951, Loss: 0.087, forward nfe 1448, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7743, tmp_test: 0.7838, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 92, Runtime: 0.0596, Loss: 0.083, forward nfe 1464, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7728, tmp_test: 0.7827, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 93, Runtime: 0.0900, Loss: 0.124, forward nfe 1480, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7721, tmp_test: 0.7848, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 94, Runtime: 0.0601, Loss: 0.184, forward nfe 1496, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7750, tmp_test: 0.7868, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 95, Runtime: 0.0969, Loss: 0.076, forward nfe 1512, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7824, tmp_test: 0.7898, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 96, Runtime: 0.1191, Loss: 0.111, forward nfe 1528, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7772, tmp_test: 0.7959, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 97, Runtime: 0.0865, Loss: 0.124, forward nfe 1544, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7794, tmp_test: 0.7970, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
Epoch: 98, Runtime: 0.0615, Loss: 0.089, forward nfe 1560, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.7934, tmp_test: 0.8000, Train: 0.9929, Val: 0.8051, Test: 0.8071, Best time: 2.2400
