Epoch: 86, Runtime: 0.0492, Loss: 0.448, forward nfe 1881, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6463, tmp_test: 0.6690, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 87, Runtime: 0.0471, Loss: 0.464, forward nfe 1903, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6522, tmp_test: 0.6599, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 88, Runtime: 0.0450, Loss: 0.235, forward nfe 1925, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6522, tmp_test: 0.6680, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 89, Runtime: 0.0476, Loss: 0.456, forward nfe 1947, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6500, tmp_test: 0.6650, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 90, Runtime: 0.0454, Loss: 0.305, forward nfe 1969, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6574, tmp_test: 0.6751, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 91, Runtime: 0.0440, Loss: 0.279, forward nfe 1991, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6485, tmp_test: 0.6569, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 92, Runtime: 0.0445, Loss: 0.317, forward nfe 2013, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6463, tmp_test: 0.6528, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 93, Runtime: 0.0481, Loss: 0.463, forward nfe 2035, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6397, tmp_test: 0.6538, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 94, Runtime: 0.0470, Loss: 0.353, forward nfe 2057, backward nfe 0, tmp_train: 0.9929, tmp_val: 0.6456, tmp_test: 0.6558, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 95, Runtime: 0.0442, Loss: 0.433, forward nfe 2079, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6713, tmp_test: 0.6731, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 96, Runtime: 0.0437, Loss: 0.343, forward nfe 2101, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6890, tmp_test: 0.6863, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
Epoch: 97, Runtime: 0.0470, Loss: 0.283, forward nfe 2123, backward nfe 0, tmp_train: 1.0000, tmp_val: 0.6912, tmp_test: 0.6924, Train: 0.9429, Val: 0.7728, Test: 0.7766, Best time: 2.1000
